[2018-02-04 00:21:10,245] DEBUG    PluginManager Loading plugin: AnnounceZero
[2018-02-04 00:21:10,427] DEBUG    - Translate file not exists: plugins/Mute/languages/en.json
[2018-02-04 00:21:10,427] DEBUG    PluginManager New plugin registered to: UiWebsocket
[2018-02-04 00:21:10,427] DEBUG    PluginManager New plugin registered to: SiteStorage
[2018-02-04 00:21:10,427] DEBUG    PluginManager New plugin registered to: UiRequest
[2018-02-04 00:21:10,427] DEBUG    PluginManager Loading plugin: Newsfeed
[2018-02-04 00:21:10,429] DEBUG    PluginManager New plugin registered to: UiWebsocket
[2018-02-04 00:21:10,429] DEBUG    PluginManager New plugin registered to: User
[2018-02-04 00:21:10,429] DEBUG    PluginManager Loading plugin: OptionalManager
[2018-02-04 00:21:10,429] DEBUG    PluginManager Loading plugin: PeerDb
[2018-02-04 00:21:10,435] DEBUG    PluginManager New plugin registered to: ContentDb
[2018-02-04 00:21:10,435] DEBUG    PluginManager Loading plugin: Sidebar
[2018-02-04 00:21:10,437] DEBUG    - Translate file not exists: plugins/Sidebar/languages/en.json
[2018-02-04 00:21:10,437] DEBUG    PluginManager New plugin registered to: UiRequest
[2018-02-04 00:21:10,437] DEBUG    PluginManager New plugin registered to: UiWebsocket
[2018-02-04 00:21:10,437] DEBUG    PluginManager Loading plugin: Stats
[2018-02-04 00:21:10,443] DEBUG    PluginManager New plugin registered to: UiRequest
[2018-02-04 00:21:10,443] DEBUG    PluginManager Loading plugin: TranslateSite
[2018-02-04 00:21:10,444] DEBUG    PluginManager New plugin registered to: UiRequest
[2018-02-04 00:21:10,444] DEBUG    PluginManager Loading plugin: Trayicon
[2018-02-04 00:21:10,445] DEBUG    PluginManager Loading plugin: Zeroname
[2018-02-04 00:21:10,451] DEBUG    PluginManager New plugin registered to: UiRequest
[2018-02-04 00:21:10,451] DEBUG    PluginManager New plugin registered to: ConfigPlugin
[2018-02-04 00:21:10,451] DEBUG    PluginManager New plugin registered to: SiteManager
[2018-02-04 00:21:10,458] DEBUG    PluginManager New class accepts plugins: Peer (Loaded plugins: [<class 'Bigfile.BigfilePlugin.PeerPlugin'>, <class 'Peer.Peer.Peer'>])
[2018-02-04 00:21:10,466] DEBUG    PluginManager New class accepts plugins: ContentDb (Loaded plugins: [<class 'PeerDb.PeerDbPlugin.ContentDbPlugin'>, <class 'OptionalManager.ContentDbPlugin.ContentDbPlugin'>, <class 'Content.ContentDb.ContentDb'>])
[2018-02-04 00:21:10,468] DEBUG    Db:ContentDb Connected to data/content.db in 0.001s (opened: 2, sqlite version: 2.6.0)...
[2018-02-04 00:21:10,468] DEBUG    Db:ContentDb Db check done in 0.000s, changed tables: []
[2018-02-04 00:21:10,469] DEBUG    PluginManager New class accepts plugins: ContentManager (Loaded plugins: [<class 'Bigfile.BigfilePlugin.ContentManagerPlugin'>, <class 'Content.ContentManager.ContentManager'>])
[2018-02-04 00:21:10,469] DEBUG    PluginManager New class accepts plugins: ConfigPlugin (Loaded plugins: [<class 'Zeroname.UiRequestPlugin.ConfigPlugin'>, <class 'OptionalManager.OptionalManagerPlugin.ConfigPlugin'>, <class 'Bigfile.BigfilePlugin.ConfigPlugin'>, <class 'Config.ConfigPlugin'>])
[2018-02-04 00:21:10,475] DEBUG    - Config: Config(action='main', autodownload_bigfile_size_limit=1, batch=False, bind=None, bit_resolver='1Name2NXVi1RDPDgf5617UoW7xA6YrhM9F', coffeescript_compiler=None, config_file='zeronet.conf', connected_limit=8, data_dir='data', db_mode='speed', debug=False, debug_socket=False, disable_db=False, disable_encryption=False, disable_sslcompression=True, disable_udp=False, download_optional='manual', end=True, file_size_limit=10, fileserver_ip='*', fileserver_port=15441, fix_float_decimals=False, global_connected_limit=512, homepage='1Jwmx33xCtuRe2UReHHxkritZ1nfuyXrrc', i2p='enable', i2p_bob_server='127.0.0.1:2827', i2p_controller='127.0.0.1:1234', i2p_cookiefile_path='/myservices/tor/control_auth_cookie', i2p_debug=False, i2p_hs_limit=10, i2p_http_proxy='127.0.0.1:4444', i2p_port_range_faktor=10, i2p_socks_proxy='127.0.0.1:1080', i2p_start=False, ip_external=None, ip_local=['127.0.0.1'], keep_ssl_cert=False, language='en', log_dir='log', max_files_opened=2048, msgpack_purepython=False, open_browser=None, optional_limit='10%', pin_bigfile=20, proxy=None, silent=False, size_limit=10, stack_size=None, stream_downloads=False, tor='enable', tor_controller='127.0.0.1:9051', tor_hs_limit=10, tor_password=None, tor_proxy='127.0.0.1:9050', trackers=['http://retracker.spark-rostov.ru:80/announce', 'http://explodie.org:6969/announce', 'http://tracker.opentrackr.org:1337/announce', 'udp://9.rarbg.com:2710', 'udp://tracker.leechers-paradise.org:6969', 'udp://tracker.coppersurfer.tk:6969', 'zero://zero.booth.moe#f36ca555bee6ba216b14d10f38c16f7769ff064e0e37d887603548cc2e64191d:15441', 'zero://boot3rdez4rzn36x.onion:15441'], trackers_file=False, ui_host=None, ui_ip='127.0.0.1', ui_port=43110, ui_restrict=False, updatesite='1KVLauCV3Ag9ZPry9cr1WvKQcyaev8gG2m', use_openssl=True, use_tempfiles=False, verbose=False, workers=5)
[2018-02-04 00:21:10,475] INFO     - Version: 0.6.1 r3234, Python 2.7.3 (default, Jun 21 2016, 18:38:19) 
[GCC 4.7.2], Gevent: 1.2.2
[2018-02-04 00:21:10,477] DEBUG    PluginManager New class accepts plugins: FileRequest (Loaded plugins: [<class 'OptionalManager.OptionalManagerPlugin.FileRequestPlugin'>, <class 'Bigfile.BigfilePlugin.FileRequestPlugin'>, <class 'File.FileRequest.FileRequest'>])
[2018-02-04 00:21:10,494] DEBUG    PluginManager New class accepts plugins: WorkerManager (Loaded plugins: [<class 'OptionalManager.OptionalManagerPlugin.WorkerManagerPlugin'>, <class 'Bigfile.BigfilePlugin.WorkerManagerPlugin'>, <class 'Worker.WorkerManager.WorkerManager'>])
[2018-02-04 00:21:10,495] DEBUG    PluginManager New class accepts plugins: SiteStorage (Loaded plugins: [<class 'Mute.MutePlugin.SiteStoragePlugin'>, <class 'MergerSite.MergerSitePlugin.SiteStoragePlugin'>, <class 'FilePack.FilePackPlugin.SiteStoragePlugin'>, <class 'Bigfile.BigfilePlugin.SiteStoragePlugin'>, <class 'Site.SiteStorage.SiteStorage'>])
[2018-02-04 00:21:10,495] DEBUG    PluginManager New class accepts plugins: SiteManager (Loaded plugins: [<class 'Zeroname.SiteManagerPlugin.SiteManagerPlugin'>, <class 'MergerSite.MergerSitePlugin.SiteManagerPlugin'>, <class 'Chart.ChartPlugin.SiteManagerPlugin'>, <class 'Site.SiteManager.SiteManager'>])
[2018-02-04 00:21:10,496] DEBUG    SiteManager SiteManager created.
[2018-02-04 00:21:10,496] DEBUG    PluginManager New class accepts plugins: Site (Loaded plugins: [<class 'MergerSite.MergerSitePlugin.SitePlugin'>, <class 'OptionalManager.OptionalManagerPlugin.SitePlugin'>, <class 'Bigfile.BigfilePlugin.SitePlugin'>, <class 'AnnounceZero.AnnounceZeroPlugin.SitePlugin'>, <class 'Site.Site.Site'>])
[2018-02-04 00:21:10,552] DEBUG    PluginManager New class accepts plugins: User (Loaded plugins: [<class 'Newsfeed.NewsfeedPlugin.UserPlugin'>, <class 'CryptMessage.CryptMessagePlugin.UserPlugin'>, <class 'User.User.User'>])
[2018-02-04 00:21:10,558] DEBUG    PluginManager New class accepts plugins: UiWebsocket (Loaded plugins: [<class 'Sidebar.SidebarPlugin.UiWebsocketPlugin'>, <class 'Newsfeed.NewsfeedPlugin.UiWebsocketPlugin'>, <class 'Mute.MutePlugin.UiWebsocketPlugin'>, <class 'MergerSite.MergerSitePlugin.UiWebsocketPlugin'>, <class 'OptionalManager.UiWebsocketPlugin.UiWebsocketPlugin'>, <class 'CryptMessage.CryptMessagePlugin.UiWebsocketPlugin'>, <class 'Cors.CorsPlugin.UiWebsocketPlugin'>, <class 'Chart.ChartPlugin.UiWebsocketPlugin'>, <class 'Bigfile.BigfilePlugin.UiWebsocketPlugin'>, <class 'Ui.UiWebsocket.UiWebsocket'>])
[2018-02-04 00:21:10,559] DEBUG    PluginManager New class accepts plugins: UiRequest (Loaded plugins: [<class 'Zeroname.UiRequestPlugin.UiRequestPlugin'>, <class 'TranslateSite.TranslateSitePlugin.UiRequestPlugin'>, <class 'Stats.StatsPlugin.UiRequestPlugin'>, <class 'Sidebar.SidebarPlugin.UiRequestPlugin'>, <class 'Mute.MutePlugin.UiRequestPlugin'>, <class 'MergerSite.MergerSitePlugin.UiRequestPlugin'>, <class 'OptionalManager.OptionalManagerPlugin.UiRequestPlugin'>, <class 'FilePack.FilePackPlugin.UiRequestPlugin'>, <class 'Cors.CorsPlugin.UiRequestPlugin'>, <class 'Bigfile.BigfilePlugin.UiRequestPlugin'>, <class 'Ui.UiRequest.UiRequest'>])
[2018-02-04 00:21:10,559] INFO     - Creating FileServer....
[2018-02-04 00:21:10,560] INFO     TorManager Connecting to Tor Controller 127.0.0.1:9051
[2018-02-04 00:21:10,581] DEBUG    - Gevent block checker started
[2018-02-04 00:21:10,584] ERROR    TorManager Tor controller connect error: error: [Errno 111] Connection refused in TorManager.py line 174 > _socket2.py line 231
[2018-02-04 00:21:10,584] INFO     TorManager Starting self-bundled Tor, due to Tor proxy port 127.0.0.1:9050 check error: No connection
[2018-02-04 00:21:10,584] INFO     I2PManager Connecting to I2P Controller 127.0.0.1:1234
[2018-02-04 00:21:10,589] ERROR    I2PManager I2P controller connect error: error: [Errno 111] Connection refused in I2PManager.py line 195 > _socket2.py line 231
[2018-02-04 00:21:10,589] INFO     I2PManager Starting self-bundled I2P, due to I2P proxy port 127.0.0.1:1234 check error: No connection
[2018-02-04 00:21:10,590] INFO     - Creating UiServer....
[2018-02-04 00:21:10,594] DEBUG    SiteManager Sites not loaded yet...
[2018-02-04 00:21:10,594] DEBUG    SiteManager Loading sites...
[2018-02-04 00:21:10,666] DEBUG    Site:149EPB..zaCN ContentDb init: 0.039s, found files: 98, sites: 52
[2018-02-04 00:21:10,726] DEBUG    SiteManager Loaded site 149EPBN4hQRpwj5TcoPETepnoXHCUXzaCN in 0.129s
[2018-02-04 00:21:10,727] DEBUG    Site:1Br4MT..CFxh ContentDb init: 0.000s, found files: 1, sites: 52
[2018-02-04 00:21:10,755] DEBUG    SiteManager Loaded site 1Br4MT7PgsRET2APJkbhqqoxwL1CqcCFxh in 0.029s
[2018-02-04 00:21:10,756] DEBUG    Site:1Gfey7..fcdp ContentDb init: 0.000s, found files: 1, sites: 52
[2018-02-04 00:21:10,785] DEBUG    SiteManager Loaded site 1Gfey7wVXXg1rxk751TBTxLJwhddDNfcdp in 0.029s
[2018-02-04 00:21:10,803] DEBUG    Site:1GitLi..MQ4t ContentDb init: 0.018s, found files: 104, sites: 52
[2018-02-04 00:21:10,840] DEBUG    SiteManager Loaded site 1GitLiXB6t5r8vuU2zC6a8GYj9ME6HMQ4t in 0.056s
[2018-02-04 00:21:10,841] DEBUG    Site:1H3MA7..Zssb ContentDb init: 0.000s, found files: 1, sites: 52
[2018-02-04 00:21:10,854] DEBUG    SiteManager Loaded site 1H3MA7Dzu5jXAB4DURujKhxBeBXUDNZssb in 0.013s
[2018-02-04 00:21:10,854] DEBUG    SiteManager Found new site in sites.json: 1BhArUMBcwMTtDBzcLyA3oaPUPZSdWt3wQ
[2018-02-04 00:21:10,855] DEBUG    Site:1RepoX..HCc6 ContentDb init: 0.000s, found files: 1, sites: 52
[2018-02-04 00:21:10,866] DEBUG    SiteManager Loaded site 1RepoXU8bQE9m7ssNwL4nnxBnZVejHCc6 in 0.012s
[2018-02-04 00:21:10,939] DEBUG    Site:1Gif7P..Xc7h ContentDb init: 0.072s, found files: 2643, sites: 52
[2018-02-04 00:21:11,073] DEBUG    SiteManager Loaded site 1Gif7PqWTzVWDQ42Mo7np3zXmGAo3DXc7h in 0.207s
[2018-02-04 00:21:11,081] DEBUG    Site:1A3o3D..8H87 ContentDb init: 0.000s, found files: 1, sites: 52
[2018-02-04 00:21:11,094] DEBUG    SiteManager Loaded site 1A3o3DnncsAGJoSQfpErDyX39Gz5TS8H87 in 0.014s
[2018-02-04 00:21:11,160] DEBUG    Site:1SiTEs..tdwB ContentDb init: 0.066s, found files: 1444, sites: 52
[2018-02-04 00:21:11,189] DEBUG    SiteManager Loaded site 1SiTEs2D3rCBxeMoLHXei2UYqFcxctdwB in 0.095s
[2018-02-04 00:21:11,190] DEBUG    Site:1KVLau..gG2m ContentDb init: 0.000s, found files: 1, sites: 52
[2018-02-04 00:21:11,204] DEBUG    SiteManager Loaded site 1KVLauCV3Ag9ZPry9cr1WvKQcyaev8gG2m in 0.014s
[2018-02-04 00:21:11,211] DEBUG    Site:1UPDat..fxsp ContentDb init: 0.000s, found files: 1, sites: 52
[2018-02-04 00:21:11,222] DEBUG    SiteManager Loaded site 1UPDatEDxnvHDo7TXvq6AEBARfNkyfxsp in 0.011s
[2018-02-04 00:21:11,222] DEBUG    Site:1KjcBw..pTMC ContentDb init: 0.000s, found files: 1, sites: 52
[2018-02-04 00:21:11,236] DEBUG    SiteManager Loaded site 1KjcBwjHx388e4jGXmEKYvGuyrk2CMpTMC in 0.014s
[2018-02-04 00:21:11,240] DEBUG    Site:1UDbAD..MkoV ContentDb init: 0.003s, found files: 718, sites: 52
[2018-02-04 00:21:11,375] DEBUG    SiteManager Loaded site 1UDbADib99KE9d3qZ87NqJF2QLTHmMkoV in 0.138s
[2018-02-04 00:21:11,376] DEBUG    Site:1Cn8tC..Hwys ContentDb init: 0.000s, found files: 1, sites: 52
[2018-02-04 00:21:11,392] DEBUG    SiteManager Loaded site 1Cn8tCr3i97AZTgXo6xyPMS2ciZvMCHwys in 0.017s
[2018-02-04 00:21:11,393] DEBUG    Site:17ziJ8..xX8t ContentDb init: 0.000s, found files: 4, sites: 52
[2018-02-04 00:21:11,492] DEBUG    SiteManager Loaded site 17ziJ8EcCdHMvAu811HMzBQ1KtVXF2xX8t in 0.099s
[2018-02-04 00:21:11,492] DEBUG    Site:1Sickf..FFEs ContentDb init: 0.000s, found files: 1, sites: 52
[2018-02-04 00:21:11,506] DEBUG    SiteManager Loaded site 1SickfhMUKQURcdN9YHZeendi6jWJFFEs in 0.014s
[2018-02-04 00:21:11,506] DEBUG    SiteManager Found new site in sites.json: 1FFuXJM1HUHBBxyRmCsVcaAerS6LLMRdkp
[2018-02-04 00:21:11,507] DEBUG    Site:1MVADe..JfMK ContentDb init: 0.000s, found files: 1, sites: 52
[2018-02-04 00:21:11,519] DEBUG    SiteManager Loaded site 1MVADeKMmDnzv8UWBz6vpDwJZ5o3RRJfMK in 0.013s
[2018-02-04 00:21:11,520] DEBUG    Site:1BLogC..AGg8 ContentDb init: 0.000s, found files: 71, sites: 52
[2018-02-04 00:21:11,605] DEBUG    SiteManager Loaded site 1BLogC9LN4oPDcruNz3qo1ysa133E9AGg8 in 0.085s
[2018-02-04 00:21:11,606] DEBUG    Site:1rNL2h..PAvz ContentDb init: 0.000s, found files: 1, sites: 52
[2018-02-04 00:21:11,620] DEBUG    SiteManager Loaded site 1rNL2hcK2hhJZWxM3wDTS5LANSnguPAvz in 0.014s
[2018-02-04 00:21:11,621] DEBUG    Site:1DaXkb..jwcv ContentDb init: 0.000s, found files: 1, sites: 52
[2018-02-04 00:21:11,641] DEBUG    SiteManager Loaded site 1DaXkbpBN7d9h78T5mjB2gTV9Ui46Bjwcv in 0.021s
[2018-02-04 00:21:11,646] DEBUG    Site:1BsRBz..YYau ContentDb init: 0.000s, found files: 1, sites: 52
[2018-02-04 00:21:11,660] DEBUG    SiteManager Loaded site 1BsRBzGdcYMbv72bwRy6pMxPLNL9obYYau in 0.019s
[2018-02-04 00:21:11,661] DEBUG    SiteManager Found new site in sites.json: 1Mr2r33XUTykaCR9yXLhqdkx2DaNa9EALD
[2018-02-04 00:21:11,661] DEBUG    Site:1BXLnS..6rts ContentDb init: 0.000s, found files: 1, sites: 52
[2018-02-04 00:21:11,678] DEBUG    SiteManager Loaded site 1BXLnSBQrCamckJfJoTfyyvpYXTvWy6rts in 0.017s
[2018-02-04 00:21:11,679] DEBUG    Site:13EYKq..eLkc ContentDb init: 0.000s, found files: 2, sites: 52
[2018-02-04 00:21:11,694] DEBUG    SiteManager Loaded site 13EYKqmPpwzBU4iaQq9Y4vfVMgj8dHeLkc in 0.016s
[2018-02-04 00:21:11,695] DEBUG    Site:1HNYEH..nVA2 ContentDb init: 0.000s, found files: 6, sites: 52
[2018-02-04 00:21:11,736] DEBUG    SiteManager Loaded site 1HNYEHtg6BPAW1jmWfBGPrRMxsPjd6nVA2 in 0.041s
[2018-02-04 00:21:11,758] DEBUG    Site:1MaiL5..Ju27 ContentDb init: 0.021s, found files: 4192, sites: 52
[2018-02-04 00:21:11,781] DEBUG    SiteManager Loaded site 1MaiL5gfBM1cyb4a8e3iiL8L5gXmoAJu27 in 0.046s
[2018-02-04 00:21:11,782] DEBUG    Site:1Jz14w..jAkN ContentDb init: 0.000s, found files: 3, sites: 52
[2018-02-04 00:21:11,799] DEBUG    SiteManager Loaded site 1Jz14wHx3i62BuBFDkwHMrd24xvYPgjAkN in 0.017s
[2018-02-04 00:21:11,801] DEBUG    Site:1uPLoa..dmQc ContentDb init: 0.001s, found files: 35, sites: 52
[2018-02-04 00:21:11,814] DEBUG    SiteManager Loaded site 1uPLoaDwKzP6MCGoVzw48r4pxawRBdmQc in 0.014s
[2018-02-04 00:21:11,814] DEBUG    SiteManager Found new site in sites.json: 1D1VGav5Wd1URqmQoRYCXFgXZMPRNbo3Ed
[2018-02-04 00:21:11,815] DEBUG    Site:1JheKm..HQqx ContentDb init: 0.000s, found files: 2, sites: 52
[2018-02-04 00:21:11,827] DEBUG    SiteManager Loaded site 1JheKmpBkc2Zab39UZXyK5m8ahAfe1HQqx in 0.013s
[2018-02-04 00:21:11,828] DEBUG    Site:1GXWvT..J4QN ContentDb init: 0.000s, found files: 3, sites: 52
[2018-02-04 00:21:11,829] DEBUG    SiteManager Loaded site 1GXWvTizHmz3P6zPLZSNKG55q8UFStJ4QN in 0.002s
[2018-02-04 00:21:11,829] DEBUG    Site:1AHweG..5Gkq ContentDb init: 0.000s, found files: 3, sites: 52
[2018-02-04 00:21:11,866] DEBUG    SiteManager Loaded site 1AHweG1UEdH6gZ5cWr7o6J5y5yeVNU5Gkq in 0.037s
[2018-02-04 00:21:11,867] DEBUG    Site:171amn..hRWj ContentDb init: 0.000s, found files: 1, sites: 52
[2018-02-04 00:21:11,872] DEBUG    SiteManager Loaded site 171amnchKeBrXnDVooTMKhHH9npTu1hRWj in 0.005s
[2018-02-04 00:21:11,927] DEBUG    Site:1TaLkF..jipT ContentDb init: 0.055s, found files: 1882, sites: 52
[2018-02-04 00:21:11,955] DEBUG    SiteManager Loaded site 1TaLkFrMwvbNsooF4ioKAY9EuxTBTjipT in 0.083s
[2018-02-04 00:21:11,956] DEBUG    Site:14vBXT..RZTM ContentDb init: 0.000s, found files: 1, sites: 52
[2018-02-04 00:21:11,964] DEBUG    SiteManager Loaded site 14vBXTtk6Jk8Poa2HPDLZ9VgEwT2hSRZTM in 0.009s
[2018-02-04 00:21:11,965] DEBUG    Site:19X5gH..Hjgc ContentDb init: 0.000s, found files: 1, sites: 52
[2018-02-04 00:21:11,977] DEBUG    SiteManager Loaded site 19X5gH4DnWFGhjYCxHzun9BYmCJvBsHjgc in 0.012s
[2018-02-04 00:21:11,978] DEBUG    Site:1FTZ3b..P6tq ContentDb init: 0.000s, found files: 3, sites: 52
[2018-02-04 00:21:11,992] DEBUG    SiteManager Loaded site 1FTZ3bxSAGLrJWZNm8psJ1qZcqUA9KP6tq in 0.015s
[2018-02-04 00:21:11,993] DEBUG    Site:1FZAVa..TN6H ContentDb init: 0.000s, found files: 2, sites: 52
[2018-02-04 00:21:12,014] DEBUG    SiteManager Loaded site 1FZAVa7hak8pcVCvVSPz59z3f14CwSTN6H in 0.022s
[2018-02-04 00:21:12,015] DEBUG    Site:1DuceV..UrtN ContentDb init: 0.000s, found files: 1, sites: 52
[2018-02-04 00:21:12,033] DEBUG    SiteManager Loaded site 1DuceV3ASWocATztxPXPCE6ooZNRzdUrtN in 0.018s
[2018-02-04 00:21:12,049] DEBUG    Site:1GNTAK..ZYTL ContentDb init: 0.016s, found files: 69, sites: 52
[2018-02-04 00:21:12,067] DEBUG    SiteManager Loaded site 1GNTAKCimBv5xEnt7QvkDn8sTkEPj7ZYTL in 0.034s
[2018-02-04 00:21:12,068] DEBUG    Site:1DTpF9..3VK1 ContentDb init: 0.000s, found files: 3, sites: 52
[2018-02-04 00:21:12,089] DEBUG    SiteManager Loaded site 1DTpF9Hv2yxPSxPDZSW5z98vd9PSx93VK1 in 0.022s
[2018-02-04 00:21:12,090] DEBUG    Site:1LyXfj..QXGR ContentDb init: 0.000s, found files: 3, sites: 52
[2018-02-04 00:21:12,132] DEBUG    SiteManager Loaded site 1LyXfjKcy5hW587iD7T6eTSQfqU7CCQXGR in 0.043s
[2018-02-04 00:21:12,133] DEBUG    Site:1Jwmx3..Xrrc ContentDb init: 0.000s, found files: 1, sites: 52
[2018-02-04 00:21:12,153] DEBUG    SiteManager Loaded site 1Jwmx33xCtuRe2UReHHxkritZ1nfuyXrrc in 0.020s
[2018-02-04 00:21:12,154] DEBUG    Site:14y3Se..bWeH ContentDb init: 0.000s, found files: 2, sites: 52
[2018-02-04 00:21:12,168] DEBUG    SiteManager Loaded site 14y3SeSH7wvr3KqLiYQhbQRc9TCAPCbWeH in 0.015s
[2018-02-04 00:21:12,169] DEBUG    Site:1MeFqF..q7nH ContentDb init: 0.000s, found files: 1, sites: 52
[2018-02-04 00:21:12,183] DEBUG    SiteManager Loaded site 1MeFqFfFFGQfa1J3gJyYYUvb5Lksczq7nH in 0.015s
[2018-02-04 00:21:12,184] DEBUG    Site:1Name2..hM9F ContentDb init: 0.000s, found files: 1, sites: 52
[2018-02-04 00:21:12,192] DEBUG    SiteManager Loaded site 1Name2NXVi1RDPDgf5617UoW7xA6YrhM9F in 0.009s
[2018-02-04 00:21:12,193] DEBUG    Site:1HeLLo..Tf3D ContentDb init: 0.000s, found files: 1, sites: 52
[2018-02-04 00:21:12,210] DEBUG    SiteManager Loaded site 1HeLLo4uzjaLetFx6NH3PMwFP3qbRbTf3D in 0.017s
[2018-02-04 00:21:12,211] DEBUG    Site:1MRMXT..18wS ContentDb init: 0.000s, found files: 1, sites: 52
[2018-02-04 00:21:12,217] DEBUG    SiteManager Loaded site 1MRMXTpAK3q1BzF94GrgguRMewng2B18wS in 0.007s
[2018-02-04 00:21:12,218] DEBUG    Site:1iD5ZQ..duGz ContentDb init: 0.000s, found files: 1, sites: 52
[2018-02-04 00:21:12,234] DEBUG    SiteManager Loaded site 1iD5ZQJMNXu43w1qLB8sfdHVKppVMduGz in 0.016s
[2018-02-04 00:21:12,235] DEBUG    Site:1iNDEx..RPcL ContentDb init: 0.000s, found files: 91, sites: 52
[2018-02-04 00:21:12,245] DEBUG    SiteManager Loaded site 1iNDExENNBsfHc6SKmy1HaeasHhm3RPcL in 0.011s
[2018-02-04 00:21:12,245] INFO     SiteManager Deleting orphan site from content.db: 1BhArUMBcwMTtDBzcLyA3oaPUPZSdWt3wQ
[2018-02-04 00:21:12,266] INFO     SiteManager Deleting orphan site from content.db: 1D1VGav5Wd1URqmQoRYCXFgXZMPRNbo3Ed
[2018-02-04 00:21:12,266] INFO     SiteManager Deleting orphan site from content.db: 1FFuXJM1HUHBBxyRmCsVcaAerS6LLMRdkp
